date,CPI-median,CPI-trim,CPI-common
2005-01-01,0.09147077082944932,-0.6076700851220965,1.4901344347041854
2005-02-01,0.32813065755952464,-0.5430498421752955,1.5633670728220608
2005-03-01,0.23248896961133436,-0.6086962455432556,1.6013334183641144
2005-04-01,-0.19881014722032733,-0.8319509979645204,1.3122417539328053
2005-05-01,-0.4968062269802601,-0.9286141204727382,1.4013176072999314
2005-06-01,-0.3908390344636072,-0.5299241951232918,1.4258377337102779
2005-07-01,0.44903584720200074,0.7101167314720644,1.5275656894999559
2005-08-01,0.18083397186406683,0.9128576011363435,1.8473946246723467
2005-09-01,0.45422212874153006,0.8188195143026992,2.047582888809376
2005-10-01,0.7767654456983091,1.4344105347334408,1.9103279702746716
2005-11-01,1.2670959794716838,1.9921070320379892,1.8649634688605081
2005-12-01,1.6247450429073957,2.8100008216053345,1.729958383847268
2006-01-01,2.6743902968716498,2.9653763488633493,2.1737350816647414
2006-02-01,2.4658639824337873,2.8776091660390755,2.413344850679917
2006-03-01,2.784410709839815,3.5587058057986445,2.651540661971388
2006-04-01,2.727578765844988,3.131900798028479,3.118873696930742
2006-05-01,2.626766617890231,2.326834464604933,3.1400344617343254
2006-06-01,2.7199789399773677,2.018175837704189,3.4520132318271064
2006-07-01,2.4806017425719924,1.2767325208311975,3.278940260146565
2006-08-01,2.2895847775345177,0.8789197420912699,3.1413805434579625
2006-09-01,1.422125245292196,0.6776704087872035,2.7324709819754447
2006-10-01,0.07522856157887951,-0.39972741748465707,2.664938842269956
2006-11-01,-0.6367987365833533,-1.1576693801293023,2.477164577856161
2006-12-01,-0.6284579511817145,-1.436191415480683,2.4180148392699974
2007-01-01,-0.8044018972042201,-0.9070782664892467,2.2899419279338633
2007-02-01,-1.1628322426525082,-1.2053595090600577,2.080731168227275
2007-03-01,-1.3668292118824779,-1.652827249911257,1.747671175803441
2007-04-01,-1.3424962499945574,-1.3644020108173336,1.6138639106057875
2007-05-01,-1.3424962499945574,-1.5406943154518844,1.5777398560592664
2007-06-01,-1.2385619037206177,-0.7330855001741557,1.2761352466693414
2007-07-01,-0.6829497452611872,0.32790738052549256,1.5425171904007022
2007-08-01,-0.3835013525331416,1.0816788495215037,1.6175788409289877
2007-09-01,-0.21064233793729792,1.1545454603443224,1.6516672771812932
2007-10-01,0.8011397256958498,1.8352334786980506,2.0500395551542128
2007-11-01,1.5100814590486287,2.2064426458566944,2.5719360656713346
2007-12-01,1.9113995385106493,2.9017109605172733,2.924589787512498
2008-01-01,1.9891411865467612,2.734582464776353,3.3073339320216673
2008-02-01,1.7912961018007811,2.5866496788684223,3.5844216755213
2008-03-01,2.208778077322013,2.563571896300262,4.232740708564487
2008-04-01,3.365141027653825,3.254400545950631,4.428654230122209
2008-05-01,3.684497797048801,4.154218565768657,4.705666818000343
2008-06-01,3.586026331409311,3.6642925725584794,4.930047596906005
2008-07-01,3.5955108198743084,3.17655768990281,5.145074981398282
2008-08-01,3.5755899959058506,3.591723303320482,5.261436077641371
2008-09-01,4.1854560802782235,4.096001143428575,5.445414477151749
2008-10-01,4.286180037000701,4.481104018331257,5.112109785785699
2008-11-01,4.086206537409153,4.567169663926788,4.314895208586546
2008-12-01,3.488593340571028,4.38689187597345,3.753013599398642
2009-01-01,2.6928193147633372,4.442145860070435,3.2571473265081545
2009-02-01,3.103261747263321,4.6341549768776344,2.6862500347002403
2009-03-01,2.8902585440504733,5.115073466884969,1.9903472861803364
2009-04-01,1.8372528488831756,4.408390161257761,1.788445460581596
2009-05-01,1.7326971478067321,4.129129022617875,1.4231433167540748
2009-06-01,2.2330818734595477,4.207304879172541,1.3542972910284992
2009-07-01,2.0060921372516956,4.403045695208374,1.3416646778688113
2009-08-01,2.1731233538554147,3.9573926926243854,1.282357100511657
2009-09-01,2.1731233538554147,3.8385194263585207,0.9871108393132609
2009-10-01,2.168714158948457,3.9899499602166335,1.1293186893462954
2009-11-01,2.462021472323422,3.618340299695566,1.2020768970855917
2009-12-01,2.7445454285891615,3.219633602497498,1.481515984583456
2010-01-01,3.442478480731923,2.52205212480518,1.3201211435552243
2010-02-01,2.9607016079697313,2.236907455707861,1.2873347947938536
2010-03-01,3.2414608898847854,1.7145470718443898,1.406947245677959
2010-04-01,3.4350214261386762,2.2821132324042153,1.491335284671608
2010-05-01,3.5216062929654424,2.549655261779429,1.5846172883920706
2010-06-01,3.107629638754071,2.4487729228960626,1.5230036561967293
2010-07-01,2.721645125884781,1.6208861152733849,1.0096709608918573
2010-08-01,2.4597098176665337,1.592971512817383,0.7479677698609128
2010-09-01,2.5576636511442086,1.7087544465324394,1.0124589590325965
2010-10-01,2.5616968554563546,1.487032286937789,1.3520379492086987
2010-11-01,2.4415870009496357,1.6021530880493184,1.6203238976007106
2010-12-01,2.640502703864072,1.8511360270480712,1.5474990946645995
2011-01-01,3.1844798100677245,2.79123361185323,2.264224115751153
2011-02-01,3.758693208230228,3.4887565971142234,2.9472649116487095
2011-03-01,3.5630544462465252,3.904320578546414,3.1784828463183463
2011-04-01,3.7570008816971487,3.469499446457501,2.9252563095623567
2011-05-01,3.7602222029628005,3.6362387807666416,2.9895014195302503
2011-06-01,3.768917502777162,3.6068980254368825,3.3468774277258153
2011-07-01,3.1696744758121542,3.1599948953748553,3.531781667742078
2011-08-01,3.5666595687982525,3.2111046686386855,3.5145960210973124
2011-09-01,3.269147518933995,3.6659439590549687,2.8786230707010776
2011-10-01,3.0674499651860794,3.46929154468711,2.532063391387607
2011-11-01,2.794256371723197,3.3259919756830048,2.407183800368578
2011-12-01,2.497888300091252,2.8336243541263655,2.284263704933534
2012-01-01,2.346978997699634,2.7465514330534577,1.9387275330430196
2012-02-01,2.143358674137674,2.522235332005992,1.4748324416006733
2012-03-01,2.0583371799149575,2.5424723816307044,1.1462045282682014
2012-04-01,1.7958665759235513,2.9948627791022573,1.0675789575367376
2012-05-01,1.498507666743632,2.584881144779573,0.9571896281527867
